experiment,P,seed,timing_repeat,mse_exact,nmse_exact,max_abs_err_exact,mse_approx_4d,nmse_approx_4d,max_abs_err_approx_4d,mse_hybrid,nmse_hybrid,max_abs_err_hybrid,runtime_soce_s,runtime_exact_alpha_s,runtime_exact_recon_s,runtime_exact_total_s,runtime_approx_4d_alpha_s,runtime_approx_4d_recon_s,runtime_approx_4d_total_s,runtime_hybrid_alpha_s,runtime_hybrid_recon_s,runtime_hybrid_total_s,num_seeds,num_timing_repeats,basis_runtime_included,matlab_version
nmse,40,1,NaN,1.87600086872501e-08,2.60558158793031e-08,0.00036354867054536,7.3253137634792e-05,0.000101741438323032,0.0202291522064427,1.64711947926857e-07,2.28768774036886e-07,0.00222410698391214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,2,NaN,1.18652727927694e-10,1.37252755903466e-10,4.3589846528589e-05,4.48270200436024e-05,5.18541136590952e-05,0.0151421494230391,2.65116653258773e-07,3.06676398690511e-07,0.0021401031007398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,3,NaN,7.61978017118309e-09,9.53711172592981e-09,0.000278044779816199,4.55256217682426e-05,5.69810324500134e-05,0.0185855111469216,1.7517727636277e-07,2.19256358973992e-07,0.00135818337042906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,4,NaN,7.86046972725247e-10,1.48047849358325e-09,0.000126230764900017,9.9944699654947e-05,0.000188240631312127,0.0219405592191845,1.22792517856789e-07,2.31273305753772e-07,0.00156575142391758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,5,NaN,7.62768591432548e-09,1.11599404595288e-08,0.000247866879776901,6.86901165364014e-05,0.000100499367608285,0.0199441988321447,2.00657979173509e-07,2.93579353614975e-07,0.00191690241835741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,6,NaN,2.59792436116018e-09,2.89833662857038e-09,0.000164686449802635,7.39170989890068e-05,8.24645392608073e-05,0.0215845959829599,1.59088877733896e-07,1.77485198733189e-07,0.00152444097452946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,7,NaN,3.81731919376724e-09,2.74262992041225e-09,0.000273036804336353,6.30303429974894e-05,4.5285420428298e-05,0.0207105525577642,1.80213402923506e-07,1.29477951889463e-07,0.00121217563980338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,8,NaN,4.19420070585242e-09,3.47493605160652e-09,0.000205179286252333,6.51036700981181e-05,5.39390234711883e-05,0.0224029805918782,2.25860416776472e-07,1.87127550618235e-07,0.00178571355868187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,9,NaN,6.78193623664715e-09,5.75195101487446e-09,0.000229480852995544,0.000110891964527923,9.40505964153898e-05,0.0300629992883261,1.29651431205601e-07,1.0996102813135e-07,0.0014228779979563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,10,NaN,1.61659621482995e-09,4.48213151054465e-09,0.0001787702443196,4.77590725236994e-05,0.000132415529560904,0.0160982794367034,1.61193933300241e-07,4.46921996430409e-07,0.00151124052182224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,11,NaN,1.66517711762206e-09,4.55189842504749e-09,0.000148819517159812,5.91615470782342e-05,0.000161722948339186,0.0173620041372736,2.11232544529851e-07,5.77421510654237e-07,0.00190698109142808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,12,NaN,1.0272762881882e-09,1.20641703532574e-09,0.00013890602507577,0.000107959044312465,0.000126785395198554,0.0315897135679687,1.74669402824114e-07,2.05128985785157e-07,0.00134171645905832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,13,NaN,1.53559268975303e-08,1.21791652692408e-08,0.000397831174646723,6.67334426991693e-05,5.29279432653009e-05,0.0243288425394039,2.07895573698164e-07,1.64887119332457e-07,0.00182564537332757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,14,NaN,4.74431236388463e-09,1.45905124661994e-08,0.000208105841584748,9.43938555613806e-05,0.00029029596296928,0.0249909162268283,1.63125891989842e-07,5.01672355883598e-07,0.00206356942178866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,15,NaN,1.07668394296826e-08,1.09823609053203e-08,0.000290212985977746,6.63925156677232e-05,6.77215048331567e-05,0.0224220592184796,1.57782741768249e-07,1.60941103101503e-07,0.00178609266284433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,16,NaN,2.50702076090206e-09,1.94011449510551e-09,0.000198564580077812,4.42620677286282e-05,3.42531982673948e-05,0.0189929692124637,1.5660362561112e-07,1.21191243715464e-07,0.00148541157944488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,17,NaN,6.0920865546753e-10,1.89142924259647e-09,0.000109881525309796,9.23288553574505e-05,0.000286656296477799,0.0250627793411034,2.26621004864956e-07,7.03597350006825e-07,0.0019242719385519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,18,NaN,3.95227192788968e-09,3.63016866757922e-09,0.000230331969590603,6.86302608332906e-05,6.30370144237088e-05,0.0182721349320201,2.11772154367458e-07,1.94513093602085e-07,0.00165145206278461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,19,NaN,5.10604411173943e-09,4.27521944975012e-09,0.000298741094800248,9.96297169127822e-05,8.34185710498151e-05,0.0282142936755703,2.50122966126754e-07,2.09424467594349e-07,0.00192095977858153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,40,20,NaN,1.54034926577791e-08,1.71930205406662e-08,0.000323578601323498,5.77205314141226e-05,6.44263157888416e-05,0.0191645301450795,3.29607648817824e-07,3.67900397811636e-07,0.00166928673143921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,1,NaN,1.15269543295918e-08,3.09779542775511e-08,0.000361870711709197,6.14055492826517e-05,0.000165023495684593,0.0193241721558717,1.53268410946344e-07,4.11899075048811e-07,0.00199237999951911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,2,NaN,3.65193332310095e-09,2.97109572657384e-09,0.000202354189785172,5.8294890844456e-05,4.74268519563176e-05,0.0238539323193182,4.56142947031831e-07,3.71103259761134e-07,0.00285565954115849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,3,NaN,6.01368585376223e-09,1.0212052595917e-08,0.000278169519622576,3.67845274236837e-05,6.24651067417499e-05,0.0187396396674904,1.15418253265804e-07,1.95995817131332e-07,0.00150482013942504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,4,NaN,6.81006969841418e-10,6.23109707355298e-10,0.000133613669047263,6.73462929483343e-05,6.16207039705816e-05,0.0185054373214298,1.57425703135845e-07,1.44041820649825e-07,0.00120697059519421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,5,NaN,2.38296749193393e-08,1.74255137501315e-08,0.000464908328245832,9.22488134906587e-05,6.74571924860886e-05,0.0235452458653157,1.42442610507116e-07,1.04161541288252e-07,0.000932977006921604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,6,NaN,4.92097795655705e-09,3.59685741525187e-09,0.000221297908160817,6.11162528811386e-05,4.46712928423139e-05,0.0201889058556277,1.34236122602074e-07,9.81163088390947e-08,0.00148751951062973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
